Mod,Installation,Type,Tested, Notes 1,Notes 2,URL,Target MC,Server Status,Server File,Client Package,Last Tested,Resolved Source,Migration Notes
Core Game,,,,,,,,,,,,,
Minecraft,Server & Client,,OK,26.1.2,Backup: /var/minecraft_backup_20260603T0339Z.tar.zst,https://piston-meta.mojang.com/mc/game/version_manifest_v2.json,26.1.2,Clean-world OK; copied world blocked,server-26.1.2.jar sha1 97ccd4c0ed3f81bbb7bfacddd1090b0c56f9bc51,macOS zip: /var/minecraft_26.1.2/minecraft_26.1.2_client_macos_apple_silicon.zip,2026-06-03,Mojang version manifest,"New server folder /var/minecraft_26.1.2; backup /var/minecraft_backup_20260603T0339Z.tar.zst. Clean-world validation final_clean_after_world_restore reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Copied old world was restored untouched from /var/minecraft/world, but real-world validation is blocked by legacy saved worldgen references to cavernous:* and additional_biomes:* after those rows were skipped under stable-only compatibility. server.properties is left on codex_testworld so the new folder is not configured to boot the broken copied world by accident. Client zip includes Install Mods.command, NeoForge 26.1.2.71 installer, 84 mod jars, and 9 resource packs."
Java,Server & Client,,OK,Java 25.0.3,Global java kept at 21,https://www.oracle.com/java/technologies/javase/25all-relnotes.html,26.1.2,Installed,OpenJDK 25.0.3+9 at /usr/lib/jvm/java-25-openjdk-amd64/bin/java,macOS Apple Silicon: Java 25 if launcher does not manage runtime,2026-06-03,Debian openjdk-25-jre-headless,Minecraft scripts call Java 25 explicitly; /usr/bin/java remains Java 21 for other VPS services.
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Online Resources,,,,,,,,,,,,,
UUID for new Player Name,Skipped,Online Reference,Skip,/whitelist,,https://mcuuid.net/?q=Pummelchen7791,26.1.2,Skipped: online reference,,Not included,2026-06-03,Sheet URL/reference,"Online UUID/whitelist reference, not a server or client mod. Skipped during migration."
Map Viewer,Skipped,Online Reference,Skip,/seed,,https://mcseedmap.net/1.21.5-Java/-4117909493815948877#x=123&z=-332&l=-1.3,26.1.2,Skipped: online reference,,Not included,2026-06-03,Sheet URL/reference,"Map viewer/seed reference, not a server or client mod. Skipped during migration."
Curseforge,Skipped,Online Reference,Skip,Select MC Version > NeoForge > Sort by Downloads,1540 Projects,https://www.curseforge.com/minecraft/search?page=1&pageSize=50&sortBy=total+downloads&version=1.21.8&gameVersionTypeId=6,26.1.2,Skipped: online reference,,Not included,2026-06-03,Sheet URL/reference,"CurseForge browsing reference, not a server or client mod. Skipped during migration."
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Core Game Mods,,,,,,,,,,,,,
NeoForge,Server & Client,Core Mod,OK,Mod Loader,java -jar neoforge installer --installServer,https://maven.neoforged.net/releases/net/neoforged/neoforge/,26.1.2,Runtime OK,NeoForge 26.1.2.71,Client loader required,2026-06-03,NeoForge Maven,Base boot passed with no error lines after setting use-native-transport=false on test server.
Sodium,Client,Core Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/sodium/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Client-only: included,client-package/mods/sodium-neoforge-0.8.12+mc26.1.2.jar,Included,2026-06-03,CurseForge stable release file 8111040,Client-only performance/rendering mod already included. Requested again 2026-06-03; current file still latest compatible; no duplicate row added.
Iris Shaders,Client,Core Mod,OK,,,https://modrinth.com/mod/iris/versions,26.1.2,Client-only: included,client-package/mods/iris-neoforge-1.10.9+mc26.1.1.jar,Included,2026-06-03,Modrinth release YEGDGnJM,"Client-only shader mod, not installed on the server. Stable NeoForge 26.1.x jar was copied to client-package/mods; Sodium is included."
BSL Shader,Skipped,Shader,Skip,Shader,,https://www.curseforge.com/minecraft/shaders/bsl-shaders-classic/files/all?page=1&pageSize=20&showAlphaFiles=hide,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 1085570,CurseForge API returned no stable shader file tagged for Minecraft 26.1.x or 1.21.10/1.21.11. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
ModernArch,Client,Resource Pack,OK,Texture Pack (resourcepacks),https://www.patreon.com/c/designio/home,https://www.curseforge.com/minecraft/texture-packs/modernarch/files/all,26.1.2,Client-only: included,client-package/resourcepacks/ModernArch v2.4.3 [26.1] [128x].zip,Included,2026-06-03,CurseForge stable release file 8102751,"Client-only resource pack, not installed on the server. Stable 26.1.x-compatible zip was copied to client-package/resourcepacks."
