ordinal,name,canonical_key,active_status,server_status,client_package
1,"Structory: Towers",structory-towers,ok,OK,Included
2,LaserIO,laserio,ok,OK,Included
3,"MrCrayfish's Furniture Mod: Refurbished",refurbished-furniture,ok,OK,Included
4,Waddles,waddles,ok,OK,Included
5,"Mutant Monsters",mutant-monsters,ok,OK,Included
6,"Macaw's Paintings",macaws-paintings,ok,OK,Included
7,"More Villagers",more-villagers,ok,OK,Included
8,LambDynamicLights,lambdynamiclights,ok,"Client-only: included",Included
9,"Magnum Torch",magnum-torch,ok,OK,Included
10,"Advanced Chimneys",advanced-chimneys,ok,OK,Included
11,Friends&Foes,friends-and-foes-forge,failed,"Rejected: log error","Not included"
12,"Bartering Station",bartering-station,ok,OK,Included
13,"Ambient Environment",ambient-environment,ok,OK,Included
14,Incendium,incendium,ok,OK,Included
15,Stoneworks,stoneworks,ok,OK,Included
16,"Harvest with ease",harvest-with-ease,ok,OK,Included
17,"Dungeons and Taverns",dungeon-and-taverns,ok,OK,"Not required (server-only)"
18,"Trade Cycling",trade-cycling,ok,OK,Included
19,"Additional Lights",additional-lights,ok,OK,Included
20,RevampedWolf,revampedwolf,ok,OK,Included
21,"Fantasy's Furniture",fantasys-furniture,failed,"Rejected: registry crash","Not included"
22,"More Axolotl Variants Mod",mavm,ok,OK,Included
23,"Animal Feeding Trough [Fabric | Forge | Quilt | NeoForge]",animal-feeding-trough,ok,OK,Included
24,"Tiny Skeletons",tiny-skeletons,ok,OK,Included
25,"Better Animations Collection",better-animations-collection,ok,"Client-only: included",Included
26,TNTUtils,tntutils,ok,OK,Included
27,"The Lost Castle",the-lost-castle,ok,OK,Included
28,"Macaw's Stairs",macaws-stairs,ok,OK,Included
29,"Macaw's Holidays",macaws-holidays,ok,OK,Included
30,"Advanced Fishing",advanced-fishing,ok,OK,Included
31,"Immersive Paintings [Fabric/Forge]",immersive-paintings,failed,"Rejected: boot test error","Not included"
32,"Ultimate Car Mod",ultimate-car-mod,ok,OK,Included
33,"Subtle Effects",subtle-effects,failed,"Rejected: boot test error","Not included"
34,"Illagers Wear Armor",illagers-wear-armor,ok,OK,Included
35,"MMV - Moog's Missing Villages",mmv-moogs-missing-villages,ok,OK,Server-only
36,"MBS - Moog's Bountiful Structures",mbs-moogs-bountiful-structures,ok,OK,Included
37,"MP - Moog's Paths",mp-moogs-paths,ok,OK,Included
38,"Universal Bone Meal",universal-bone-meal,ok,OK,Included
39,"Medieval Buildings",medieval-buildings,failed,"Rejected: datapack/tag error","Not included"
40,Variants&Ventures,variants-and-ventures,ok,OK,Included
41,"Simple Weather",simple-weather,ok,OK,Included
42,Luminax,luminax,ok,OK,Included
43,"Underground Villages",underground-villages,failed,"Rejected: Ruins integration error","Not included"
44,"Miner's Helmet",miners-helmet,ok,OK,Included
45,"Illager Warship",illager-warship,ok,OK,Included
46,"Castle in the Sky",castle-in-the-sky-the-fairytale-of-laputa,ok,OK,Included
47,ChocoCraft,chococraft,skipped,"No compatible release","Not included"
48,Abridged,abridged,skipped,"No compatible release","Not included"
49,"Immersive Vehicles",minecraft-transport-simulator,ok,OK,Included
50,"Realistic Bees",realistic-bees,ok,OK,Included
51,"Untitled Duck Mod",untitled-duck-mod-forge,ok,OK,Included
52,"Fish of Thieves",fish-of-thieves,ok,OK,Included
53,"More Babies",more-babies,ok,OK,Included
54,"More Bows and Arrows | Major Update Available!",more-bows-and-arrows,ok,OK,Included
55,"Animal Armor Trims - Horse & Wolf",animal-armor-trims,ok,OK,Included
56,"Pretty Beaches",pretty-beaches,ok,OK,Included
57,TorchBowMod,torchbowmod,ok,OK,Included
58,"Axes Are Weapons",axes-are-weapons,ok,OK,Included
59,"Infinite Trading",infinite-trading,ok,OK,Included
60,"Immersive Vehicles (MTS/IV) - Official Content Pack - [OCP] - Planes, Cars, Helicopters & More!",transport-simulator-official-vehicle-set,ok,OK,Included
