ordinal,name,canonical_key,active_status,server_status,client_package,process_status,primary_url
1,CherryVillage,cherryvillage,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/cherryvillage/files/all?page=1&pageSize=20&gameVersionTypeId=6
2,"Illager Arena",illager-arena,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/illager-arena
3,"Gamingbarn's Modern Guns",gamingbarns-modern-guns,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/gamingbarns-modern-guns
4,"Electronic Device Mod",edm,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/edm
5,"Just Enough Guns New",just-enough-guns-for-neoforge,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/just-enough-guns-for-neoforge
6,"Aether Ruined Portals",aether-ruined-portal,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/aether-ruined-portal
7,"MBS - Moog's Bountiful Structures",mbs-moogs-bountiful-structures,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/mbs-moogs-bountiful-structures
8,"Create: Automotives",create-automotives,skipped,"Skipped: requires Create 6.0.0+; no compatible Create NeoForge 26.1.x release found","Not included",skipped,https://www.curseforge.com/minecraft/mc-mods/create-automotives
9,"Illager Fortress",illager-fortress,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/illager-fortress
10,"Cinch's Abandoned Houses",cinchs-abandoned-houses,ok,OK,"Not required (server-only)",ok,https://www.curseforge.com/minecraft/mc-mods/cinchs-abandoned-houses/files/all?page=1&pageSize=20&gameVersionTypeId=6
11,Maple,maple,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/maple
12,"Grim kingdoms: Vanilla Edition",grim-kingdoms-lost-structures-ruins-vanilla,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/grim-kingdoms-lost-structures-ruins-vanilla
13,"Chems' Guns",chems-guns,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/chems-guns
14,"Animal Garden - Springhare",animal-garden-springhare,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/animal-garden-springhare
15,"Better Fishtanks",better-fishtanks,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/better-fishtanks
