Mod,Installation,Type,Tested,Notes 1,Notes 2,URL,Target MC,Server Status,Server File,Client Package,Last Tested,Resolved Source,Migration Notes
Java,Server & Client,,OK,Java 25.0.3,Global java kept at 21,https://www.oracle.com/java/technologies/javase/25all-relnotes.html,26.1.2,Installed,OpenJDK 25.0.3+9 at /usr/lib/jvm/java-25-openjdk-amd64/bin/java,macOS Apple Silicon: Java 25 if launcher does not manage runtime,2026-06-03,Debian openjdk-25-jre-headless,Minecraft scripts call Java 25 explicitly; /usr/bin/java remains Java 21 for other VPS services.
Minecraft,Server & Client,,OK,26.1.2,Backup: /var/minecraft_backup_20260603T0339Z.tar.zst,https://piston-meta.mojang.com/mc/game/version_manifest_v2.json,26.1.2,Clean-world OK; copied world blocked,server-26.1.2.jar sha1 97ccd4c0ed3f81bbb7bfacddd1090b0c56f9bc51,macOS zip: /var/minecraft_26.1.2/minecraft_26.1.2_client_macos_apple_silicon.zip,2026-06-03,Mojang version manifest,"New server folder /var/minecraft_26.1.2; backup /var/minecraft_backup_20260603T0339Z.tar.zst. Clean-world validation final_clean_after_world_restore reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Copied old world was restored untouched from /var/minecraft/world, but real-world validation is blocked by legacy saved worldgen references to cavernous:* and additional_biomes:* after those rows were skipped under stable-only compatibility. server.properties is left on codex_testworld so the new folder is not configured to boot the broken copied world by accident. Client zip includes Install Mods.command, NeoForge 26.1.2.71 installer, 84 mod jars, and 9 resource packs."
Curseforge,Skipped,Online Reference,Skip,Select MC Version > NeoForge > Sort by Downloads,1540 Projects,https://www.curseforge.com/minecraft/search?page=1&pageSize=50&sortBy=total+downloads&version=1.21.8&gameVersionTypeId=6,26.1.2,Skipped: online reference,,Not included,2026-06-03,Sheet URL/reference,"CurseForge browsing reference, not a server or client mod. Skipped during migration."
Map Viewer,Skipped,Online Reference,Skip,/seed,,https://mcseedmap.net/1.21.5-Java/-4117909493815948877#x=123&z=-332&l=-1.3,26.1.2,Skipped: online reference,,Not included,2026-06-03,Sheet URL/reference,"Map viewer/seed reference, not a server or client mod. Skipped during migration."
UUID for new Player Name,Skipped,Online Reference,Skip,/whitelist,,https://mcuuid.net/?q=Pummelchen7791,26.1.2,Skipped: online reference,,Not included,2026-06-03,Sheet URL/reference,"Online UUID/whitelist reference, not a server or client mod. Skipped during migration."
BSL Shader,Skipped,Shader,Skip,Shader,,https://www.curseforge.com/minecraft/shaders/bsl-shaders-classic/files/all?page=1&pageSize=20&showAlphaFiles=hide,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 1085570,CurseForge API returned no stable shader file tagged for Minecraft 26.1.x or 1.21.10/1.21.11. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Dramatic Skys,Client,Resource Pack,OK,Texture Pack (resourcepacks),https://www.patreon.com/cw/thebaum64,https://www.curseforge.com/minecraft/texture-packs/dramatic-skys/files/all?page=1&pageSize=20,26.1.2,Client-only: included,client-package/resourcepacks/Dramatic Skys Demo 1.5.3.36.4.zip,Included,2026-06-03,CurseForge stable release file 8145817,"Client-only resource pack, not installed on the server. Stable 26.1.x-compatible zip was copied to client-package/resourcepacks."
Iris Shaders,Client,Core Mod,OK,,,https://modrinth.com/mod/iris/versions,26.1.2,Client-only: included,client-package/mods/iris-neoforge-1.10.9+mc26.1.1.jar,Included,2026-06-03,Modrinth release YEGDGnJM,"Client-only shader mod, not installed on the server. Stable NeoForge 26.1.x jar was copied to client-package/mods; Sodium is included."
ModernArch,Client,Resource Pack,OK,Texture Pack (resourcepacks),https://www.patreon.com/c/designio/home,https://www.curseforge.com/minecraft/texture-packs/modernarch/files/all,26.1.2,Client-only: included,client-package/resourcepacks/ModernArch v2.4.3 [26.1] [128x].zip,Included,2026-06-03,CurseForge stable release file 8102751,"Client-only resource pack, not installed on the server. Stable 26.1.x-compatible zip was copied to client-package/resourcepacks."
NeoForge,Server & Client,Core Mod,OK,Mod Loader,java -jar neoforge installer --installServer,https://maven.neoforged.net/releases/net/neoforged/neoforge/,26.1.2,Runtime OK,NeoForge 26.1.2.71,Client loader required,2026-06-03,NeoForge Maven,Base boot passed with no error lines after setting use-native-transport=false on test server.
Sodium,Client,Core Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/sodium/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Client-only: included,client-package/mods/sodium-neoforge-0.8.12+mc26.1.2.jar,Included,2026-06-03,CurseForge stable release file 8111040,Client-only performance/rendering mod already included. Requested again 2026-06-03; current file still latest compatible; no duplicate row added.
AI Improvements,Server & Client,Server Optimizer,OK,Memory & Entities,26.1.1 jar tested on 26.1.2,https://www.curseforge.com/minecraft/mc-mods/ai-improvements/files/7878374,26.1.2,OK,AI-Improvements-26.1.1-0.5.4.jar,Included,2026-06-03,CurseForge stable release file 7878374,"No exact 26.1.2 file found; stable 26.1.1 NeoForge file passed on 26.1.2. Requested again 2026-06-03; already active and in client package, no duplicate row added."
Alternate Current,Server & Client,Server Optimizer,OK,Game Logic & Bug Fixes,26.1 jar tested on 26.1.2,https://www.curseforge.com/minecraft/mc-mods/alternate-current/files/7872068,26.1.2,OK,alternate_current-mc26.1-1.9.0.jar,Included,2026-06-03,CurseForge stable release file 7872068,"Boot test row33_alternate_current passed: STATUS=started, ERROR_LINES=0."
Chunk Sending,Server & Client,Server Optimizer,Skip,Chunk & Save,No stable 26.1.x NeoForge file,https://www.curseforge.com/minecraft/mc-mods/chunk-sending-forge-fabric/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,,Not included,2026-06-03,CurseForge search returned no stable NeoForge 26.1.2/26.1 file,Skipped to honor stable-compatible-only rule; existing 1.21.x jar remains only in mods_previous_1.21.8.
Clumps,Server & Client,Server Optimizer,Skip,Memory & Entities,No stable 26.1.x NeoForge file,https://www.curseforge.com/minecraft/mc-mods/clumps/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,,Not included,2026-06-03,CurseForge search returned no stable NeoForge 26.1.2/26.1 file,Skipped to honor stable-compatible-only rule; existing 1.21.8 jar remains only in mods_previous_1.21.8.
Connectivity,Server & Client,Server Optimizer,OK,Networking & I/O,Requires Cupboard >=3.1,https://www.curseforge.com/minecraft/mc-mods/connectivity/files/7866655,26.1.2,OK,connectivity-26.1-7.6.jar,Included,2026-06-03,CurseForge stable release file 7866655,"Initial test failed missing Cupboard. After installing Cupboard row31, retest row31_cupboard_with_connectivity_retest passed ERROR_LINES=0."
Cupboard,Server & Client,Server Optimizer,OK,API,Dependency for Connectivity,https://www.curseforge.com/minecraft/mc-mods/cupboard/files/7904113,26.1.2,OK,cupboard-26.1-3.7.jar,Included,2026-06-03,CurseForge stable release file 7904113,Installed early because Connectivity requires Cupboard >=3.1. Combined boot test passed ERROR_LINES=0.
Dynamic View,Server & Client,Server Optimizer,OK,Chunk & Save,26.1 jar tested on 26.1.2,https://www.curseforge.com/minecraft/mc-mods/dynamic-view/files/8021515,26.1.2,OK,dynamicviewdist-26.1-4.0.jar,Included,2026-06-03,CurseForge stable release file 8021515,"Boot test row29_dynamic_view passed: STATUS=started, ERROR_LINES=0."
FerriteCore,Server & Client,Server Optimizer,OK,Memory & Entities,Server/client jar included,https://www.curseforge.com/minecraft/mc-mods/ferritecore/files/7806039,26.1.2,OK,ferritecore-9.0.0-neoforge.jar,Included,2026-06-03,CurseForge stable release file 7806039,"Boot test row25_ferritecore passed previously. Requested again 2026-06-03; already active and in client package, no duplicate row added."
Lithium,Server & Client,Server Optimizer,OK,Core Tick & Logic Optimizers,Server/client jar included,https://www.curseforge.com/minecraft/mc-mods/lithium/files/8161947,26.1.2,OK,lithium-neoforge-0.24.4+mc26.1.2.jar,Included,2026-06-03,CurseForge stable release file 8161947,"Boot test row23_lithium passed: STATUS=started, ERROR_LINES=0."
ModernFix,Server & Client,Server Optimizer,OK,Game Logic & Bug Fixes,Server/client jar included,https://www.curseforge.com/minecraft/mc-mods/modernfix/files/8099992,26.1.2,OK,modernfix-neoforge-5.27.12+mc26.1.2.jar,Included,2026-06-03,CurseForge stable release file 8099992,"Boot test row34_modernfix passed: STATUS=started, ERROR_LINES=0."
ServerCore,Server & Client,Server Optimizer,OK,Core Tick & Logic Optimizers,Fresh config generated,https://modrinth.com/mod/servercore/version/tcwIcZH7,26.1.2,OK,servercore-neoforge-1.5.17+26.1.2.jar,Included,2026-06-03,Modrinth release tcwIcZH7,Initial test exposed stale 1.21.8 ServerCore config category GLARES. Moved old config to config_previous_1.21.8; retest row24_servercore_fresh_config passed ERROR_LINES=0.
