Mod,Category,Installation,Type,Tested,Target MC,Server Status,Server File,Client Package,Last Tested,Resolved Source,URL,DB Notes
Java,Core Game,Server & Client,,OK,26.1.2,Installed,OpenJDK 25.0.3+9 at /usr/lib/jvm/java-25-openjdk-amd64/bin/java,macOS Apple Silicon: Java 25 if launcher does not manage runtime,2026-06-03,Debian openjdk-25-jre-headless,https://www.oracle.com/java/technologies/javase/25all-relnotes.html,Minecraft scripts call Java 25 explicitly; /usr/bin/java remains Java 21 for other VPS services.
Minecraft,Core Game,Server & Client,,OK,26.1.2,Clean-world OK; copied world blocked,server-26.1.2.jar sha1 97ccd4c0ed3f81bbb7bfacddd1090b0c56f9bc51,macOS zip: /var/minecraft_26.1.2/minecraft_26.1.2_client_macos_apple_silicon.zip,2026-06-03,Mojang version manifest,https://piston-meta.mojang.com/mc/game/version_manifest_v2.json,New server folder /var/minecraft_26.1.2; backup /var/minecraft_backup_20260603T0339Z.tar.zst.
BSL Shader,Core Game Mods,Skipped,Shader,Included in client package,26.1.2 client; shader file tagged 1.21.9 + Iris,"Client-only: shaderpack included via Iris; latest stable file is tagged 1.21.9, not 26.1.x",/var/minecraft_26.1.2/client-package/shaderpacks/BSLClassic_v10.0.zip,Included,2026-06-04,curseforge,https://www.curseforge.com/minecraft/shaders/bsl-shaders-classic/files/all?page=1&pageSize=20&showAlphaFiles=hide,CurseForge API returned no stable shader file tagged for Minecraft 26.1.x or 1.21.10/1.21.11.
Dramatic Skys,Core Game Mods,Client,Resource Pack,OK,26.1.2,Client-only: included,client-package/resourcepacks/Dramatic Skys Demo 1.5.3.36.4.zip,Included,2026-06-03,CurseForge stable release file 8145817,https://www.curseforge.com/minecraft/texture-packs/dramatic-skys/files/all?page=1&pageSize=20,"Client-only resource pack, not installed on the server."
Iris Shaders,Core Game Mods,Client,Core Mod,OK,26.1.2,Client-only: included,client-package/mods/iris-neoforge-1.10.9+mc26.1.1.jar,Included,2026-06-03,Modrinth release YEGDGnJM,https://modrinth.com/mod/iris/versions,"Client-only shader mod, not installed on the server."
ModernArch,Core Game Mods,Client,Resource Pack,OK,26.1.2,Client-only: included,client-package/resourcepacks/ModernArch v2.4.3 [26.1] [128x].zip,Included,2026-06-04,CurseForge stable release file 8102751,https://www.curseforge.com/minecraft/texture-packs/modernarch/files/all,"Client-only resource pack, not installed on the server."
NeoForge,Core Game Mods,Server & Client,Core Mod,OK,26.1.2,Runtime OK,NeoForge 26.1.2.71,Client loader required,2026-06-03,NeoForge Maven,https://maven.neoforged.net/releases/net/neoforged/neoforge/,Base boot passed with no error lines after setting use-native-transport=false on test server.
Sodium,Core Game Mods,Client,Core Mod,OK,26.1.2,Client-only: included,client-package/mods/sodium-neoforge-0.8.12+mc26.1.2.jar,Included,2026-06-03,CurseForge stable release file 8111040,https://www.curseforge.com/minecraft/mc-mods/sodium/files/all?page=1&pageSize=20&gameVersionTypeId=6,Client-only performance/rendering mod already included.
Aquarius Libs,Dependency,Server + client,Dependency,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7863350,https://www.curseforge.com/minecraft/mc-mods/aquarius-libs,Auto-added as required dependency while processing SQLite URL batch.
Berezka's library,Dependency,Server + client,Dependency,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8173815,https://www.curseforge.com/minecraft/mc-mods/berezka-library,Auto-added as required dependency while processing SQLite URL batch.
Better Library,Dependency,Server + client,Dependency,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7875779,https://www.curseforge.com/minecraft/mc-mods/better-library,Auto-added as required dependency while processing SQLite URL batch.
CC - Complementary Core,Dependency,Server + client,Dependency,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8020905,https://www.curseforge.com/minecraft/mc-mods/cc-complementary-core,Auto-added while resolving CS - Complementary Structures dependency chain.
Citadel (NeoForge),Dependency,Server + client,Dependency,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8161084,https://www.curseforge.com/minecraft/mc-mods/citadel-neoforge,Auto-added as required dependency while processing SQLite URL batch.
Cobweb,Dependency,Server + client,Dependency,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7868525,https://www.curseforge.com/minecraft/mc-mods/cobweb,Auto-added as required dependency while processing SQLite URL batch.
Collective,Dependency,Server + client,Dependency,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8021353,https://www.curseforge.com/minecraft/mc-mods/collective,Auto-added as required dependency while processing SQLite URL batch.
Jauml,Dependency,Server + client,Dependency,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8122551,https://www.curseforge.com/minecraft/mc-mods/jauml,Auto-added as required dependency while processing SQLite URL batch.
KhazodaCore,Dependency,Server + client,Dependency,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8171780,https://www.curseforge.com/minecraft/mc-mods/khazodacore,Auto-added as required dependency while processing SQLite URL batch.
MINT Lib,Dependency,Server + client,Dependency,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7927602,https://www.curseforge.com/minecraft/mc-mods/mint-lib,Auto-added as required dependency while processing SQLite URL batch.
MonoLib,Dependency,Server + client,Dependency,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7974621,https://www.curseforge.com/minecraft/mc-mods/monolib,Auto-added as required dependency while processing SQLite URL batch.
